TITLE = "Simulation Data"
VARIABLES = "X", "U"
ZONE T="t=1", I=50
0.01 0.3656979271399866046507616263
0.03 0.142450478320417001973465655562
0.05 0.0316347226807964519845423005101
0.07 0.0128624717627925095907956490778
0.09 0.00810303249999580366712750924722
0.11 0.00832735188386521937580570598236
0.13 0.00989808260758041036981736574627
0.15 0.0123272012915757734263876561354
0.17 0.0155970718661217703075525273925
0.19 0.0196426478024571427155606195501
0.21 0.0243624149822171151859349922338
0.23 0.0296907682093483371821464897306
0.25 0.035618429139224665986385630106
0.27 0.0421703979132248936525914069935
0.29 0.0493796054078802222893567865365
0.31 0.0572757384832326364303795790314
0.33 0.0658855609385695202849163726481
0.35 0.0752347977445640733250747902315
0.37 0.0853493299680739896953909081161
0.39 0.0962578095905457471478587021987
0.41 0.107992055351515506840681318565
0.43 0.120581946853341138942502659581
0.45 0.134054044551681678243815016194
0.47 0.148440865711493870945655192076
0.49 0.163783864100103411812510651246
0.51 0.180116436381772910573779768611
0.53 0.197456573563149318918150096925
0.55 0.215837179890913524831598898745
0.57 0.23532536721880997005405222411
0.59 0.255972132844396381276047929696
0.61 0.277763629456904561754837963371
0.63 0.300695479074372081547934576886
0.65 0.324885679058481570716658247832
0.67 0.350490942590942128263624683511
0.69 0.377473043082756117549133995207
0.71 0.405629098312612829843808457671
0.73 0.434996414691836562311414130149
0.75 0.466042951955455241275211885322
0.77 0.49912679909274790464920019902
0.79 0.533814081612460974782667967683
0.81 0.569254042983894130218206808849
0.83 0.605506939767724416362427808057
0.85 0.644019892882809354237840887633
0.87 0.685981239445031496266081041408
0.89 0.730006743716931945666986256555
0.91 0.771838046200182484694600423256
0.93 0.805508109316440981234307091895
0.95 0.820577680143306731606743917871
0.97 0.785114416129817522933895727119
0.99 0.61921472591271132066430293155
