Variables=dx,L1,L2,Linf 
 Zone I=12,f=point
0.2 2.9321880803831468e-05 3.388362863274822e-05 6.279028844691226e-05 
0.1 9.533234585676343e-07 1.1026508722980638e-06 2.1425301399702334e-06 
0.06666666666666667 1.2728805992718214e-07 1.4724103213320408e-07 2.907468195090246e-07 
0.05 3.0419107944178184e-08 3.518783773370267e-08 7.004906699137337e-08 
0.04 1.0010230832024902e-08 1.1579446052285882e-08 2.3164322016100414e-08 
0.03333333333333333 4.034376292471701e-09 4.666768509970105e-09 9.366272646360585e-09 
0.02857142857142857 0.0005878392029457576 0.0031260319113709262 0.02057431466987321 
0.025 0.0008930334081381269 0.004002217729385849 0.02146340666694533 
0.022222222222222223 0.0010950675452247166 0.004740967323431292 0.029060209188909406 
0.02 0.0011593954115487013 0.0049634816378341775 0.0306827571084869 
0.01 0.0014439413123437895 0.007435467114661708 0.07160697171199445 
0.006666666666666667 0.0015214366756333448 0.00932464250816055 0.11303198519696783 
